GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
KIAA0930	9.13	10.6	7.53
NCF4	0.16	0.38	0.3
CSF2RB	0	0	0.01
SLC25A17	2.06	2.91	2.06
UPK3A	0.78	2.09	0.88
FAM118A	2.22	3.94	4.75
KCTD17	0.36	0.76	0.54
ST13	37.13	36.92	36.64
IL2RB	0	0.01	0.11
RBX1	2.87	4.24	3.21
EP300	10.86	14.45	13.99
L3MBTL2	1.26	1.46	0.65
CHADL	0.01	0.14	0
RANGAP1	3.01	2.35	4.27
ZC3H7B	2.88	2.7	2.82
PHF5A	3.08	2.09	2.16
ACO2	56.09	30.25	27.44
POLR3H	0.55	0.42	0.21
TRMU	1.07	1.34	3.03
PMM1	5.82	5.73	5.69
DESI1	8.56	3.99	3.94
CERK	9.21	10.26	8.39
BRD1	4.19	6.47	5.86
ZBED4	2.58	2.7	2.25
MLC1	0	0	0
HDAC10	1.34	0.99	1.82
KCNK10	0	0	0.08
ABHD4	7.76	7.32	8.23
KHNYN	6.22	8.03	10.83
FKBP3	5.34	3.36	3.69
SDR39U1	1.95	1.95	2.05
CTSG	0	0	0
GZMH	0	0	0
GZMB	0.45	0.43	0.9
RBM23	12.77	16.6	17.26
PRMT5	6.45	25.07	19.94
COCH	0.29	0.33	0
AP4S1	0.12	0.74	0.25
POLE2	0.05	0.09	0.19
VCPKMT	0	0.17	0.03
SOS2	4.6	4.09	4.85
CDKL1	0.18	0.14	0.52
NIN	0.77	2.64	2.15
PYGL	0.22	0.3	0.33
TRIM9	0	0	0
PSMC6	11.01	12.29	14.95
GNPNAT1	11.23	8.53	1.88
DDHD1	1.42	0.5	0.69
CDKN3	0.36	0.12	0.6
CNIH1	15.63	10.11	11.48
CGRRF1	0.78	1.02	1.37
ATP6V1D	31.56	44.27	40.26
CCDC198	0.51	0.43	0.02
PLEK2	4.81	13.14	11.47
PIGH	2.82	1.25	1.33
LRRC74A	0	0	0
PSMA3	19.07	12.76	12.86
VTI1B	9.78	8.38	7.07
TIMM9	0.76	0.62	0.45
GSTZ1	4.14	2.79	2.69
KIAA0586	0.26	0.31	0.59
TMED8	0.77	0.83	0.82
SAMD15	0.01	0	0
AHSA1	31.33	21.34	21.87
DAAM1	4.93	8.5	8.8
ISM2	0.05	0	0.25
SPTLC2	9.87	6.23	5.04
RIN3	5.23	7.06	7.51
LGMN	61.07	46.28	50.28
ALKBH1	0.64	1.16	1.03
SNW1	12.42	14.63	14.32
CHGA	0	0.11	0.05
ITPK1	38.53	56.08	43.97
DHRS7	92.62	70.74	67.56
PPM1A	25.44	19.68	24.3
SIX4	0.03	0.05	0.19
GALNT16	0	0	0.01
ASB2	0	0.06	0.06
CEP128	0.2	0.43	0.06
ERH	5.96	4.73	4.36
HIF1A	8.43	8.93	9.27
SUSD6	7.4	6.87	6.84
SRSF5	50.15	85.06	92.45
SLC10A1	0	0	0
EIF5	48.26	82.52	80.39
SERPINA4	0	0.61	0.43
SLC8A3	0	0	0
DICER1	7.07	8.25	7.63
ZFYVE21	12.93	11.22	10.94
MTHFD1	3.42	1.16	1.39
TCL1A	0.03	0	0
ZC3H14	3.41	5.86	5.66
TELO2	0.54	0.25	0.29
PCNX1	1.78	1.62	1.77
BDKRB1	0.43	0.51	0.45
GSKIP	14.83	18.67	18.43
VRK1	0.19	0.29	0.27
PSMC1	25.14	25.01	23.35
PAPLN	0.22	0.05	0.13
RPS6KA5	0.96	0.63	0.84
PPP4R3A	8.31	15.42	12.05
C14orf93	0.35	0.26	0.27
PSMB5	14.46	8.54	6.77
YY1	9.71	11.67	8.41
ACIN1	13.12	17.45	18.91
CCNB1IP1	0.93	1.28	0.39
TRIP11	5	5.97	6.36
APEX1	5.15	6.47	6.74
PABPN1	9.47	10.99	14.97
EFS	0	0	0
ARHGAP5	12.63	23.75	30.22
CINP	2.24	2.63	3.69
DHRS2	0	0	0.25
SRP54	6.4	7.02	8.94
CPNE6	0	0	0
CHD8	7.08	10.05	11.79
PCK2	25.52	24.53	18.18
PRORP	1.96	3.13	1.14
DCAF11	18.87	20.65	16.24
PSMA6	34.52	32.56	28.83
NFKBIA	15.29	16.82	21.52
EMC9	0.36	0.18	0.29
PSME2	37.44	13.21	17.2
BRMS1L	0.81	0.31	0.34
REC8	0.3	0.49	1.48
TM9SF1	8.1	8.36	7.66
SEC23A	19.37	25.47	23.03
GMPR2	7.08	12.68	12.86
PNN	7.68	12.61	13.6
RABGGTA	5.3	6.88	4.94
NFATC4	0.82	1.02	1.4
PLTP	0.14	1.13	0.41
PCIF1	1.53	2.32	2.34
GSS	10.17	5.9	5.07
MMP9	0	0	0
VSX1	0	0	0
TRPC4AP	9.87	11.49	10.29
PYGB	35.52	32.73	28.5
ABHD12	15.84	21.28	18.93
PROCR	0.45	1.31	1.27
GINS1	0.07	0	0.14
NINL	0.82	1.01	0.31
CD40	0.06	0.44	0.08
UQCC1	4.73	3.23	1.23
ZMYND8	10.85	19.65	17.94
SGK2	49.32	43.36	43.91
IFT52	2.93	0.9	1.2
MYBL2	0.04	0.13	0.05
R3HDML	0	0	0
HNF4A	41.39	56.06	54.35
NDRG3	5.49	6.23	5.62
SLA2	0.08	0.15	0.15
RAB5IF	26.82	21.13	21.14
NFATC2	0.11	0.03	0.05
RIMS4	0	0.01	0.14
PABPC1L	0.1	0.6	1.13
STK4	4.23	5.17	4.89
SALL4	0	0	0
ADNP	4.07	7.8	6.7
PFDN4	1.45	2.62	2.07
DOK5	0	0	0
CSTF1	2.48	1.79	1.33
BMP7	4.12	1.31	1.19
RAE1	1.2	1.87	2.18
TPD52L2	12.23	18.68	15.84
DNAJC5	15.64	18.71	17.3
NELFCD	3.12	1.59	1.71
CTSZ	111.61	97.89	95.25
PRPF6	8.14	11.27	11.23
TUBB1	0.02	0.04	0.02
PRELID3B	19.15	16.16	15.02
HRH3	0	0	0
MTG2	1.9	1.99	4.38
PSMA7	45.79	30.35	28.25
SLCO4A1	2.72	1.69	1.97
NTSR1	0	0	0.06
MRGBP	1.06	1.08	0.87
TCFL5	1.16	0.85	1.35
DIDO1	4.19	5.36	6.45
GID8	4.39	5.88	6.98
SLC17A9	0.43	0.08	0.39
BIRC7	0	0	0
NKAIN4	0	0	0
ARFGAP1	4.09	7.87	5.31
AVP	0.47	0.12	0
COL20A1	0	0	0
CHRNA4	0	0	0
EEF1A2	0.89	0.47	0.59
PTK6	12.27	13.23	11.07
GMEB2	1.59	1.8	1.52
C20orf27	0.2	0.02	0.11
SPEF1	0	0	0
CDC25B	1.74	1.07	0.52
ISM1	0	0	0
RNF24	0.84	0.85	0.62
ARFRP1	3.75	2.14	2.74
NDUFAF5	1.81	1.6	1.39
SEL1L2	0	0	0
TRIB3	9.81	25.09	22.94
RASSF2	0	0.02	0.01
CSNK2A1	14.72	17.49	19.19
SLC52A3	18.06	8.67	6.17
RPS10P5_ENSG00000101278	0.07	0	0
ANGPT4	0	0	0
RSPO4	0	0	0
CDS2	2.29	2.81	2.89
PROKR2	0.06	0.21	0.34
HM13	35.01	29.16	35.17
SNPH	0.17	0.13	0.2
MYLK2	0	0	0
SIRPB1	0	0	0
SEC23B	6.63	5.92	5.55
FERMT1	8.51	3.62	5.07
HAO1	0	0	0
PDYN	0	0	0
CCM2L	0	0	0
PLCB4	2.22	4.84	9.95
MYL9	3.05	7.51	6.11
HCK	0	0	0
TM9SF4	10.45	8.15	8.05
TLDC2	3.79	3.2	2.86
CRNKL1	4.17	5.55	3.28
POFUT1	5.02	5.22	6.04
SAMHD1	0.35	0.21	0.63
PAK5	0	0	0
KIF3B	5.52	5.64	5.53
MROH8	0.65	0.28	0.13
NOP56	3.58	2.18	1.64
MANBAL	9.26	10.54	8.83
IDH3B	17.99	5.07	3.73
MAPRE1	9.48	10.37	12.12
JAG1	17.18	13.79	15.57
CDK5RAP1	2.07	1.13	2.41
SNTA1	1.63	1.54	1.66
OXT	0	0.17	0
TTI1	0.87	1.81	1.33
E2F1	0.01	0.08	0.1
RPRD1B	2.52	6.77	6.85
PXMP4	1.55	1.05	0.68
CHMP4B	71.25	79.69	84.2
BPI	0	0	0
CST9L	0	0	0
SLC32A1	0	0	0
CST3	54.4	72.73	68.35
ASIP	0	0	0
CST4	0	0	0
ACTR5	0.14	0.1	0.2
WFDC2	0	0.35	0
AHCY	5.18	1.08	0.85
PPP1R16B	0.02	0.01	0.06
SPINT3	0	0	0
FAM83D	0.1	0	0.01
EPPIN	0	0	0.01
DHX35	0.43	0.47	0.24
DNTTIP1	2.86	4.45	4.76
MAP1LC3A	2.37	1.42	1.44
SYNDIG1	0	0	0
PIGU	0.71	1.55	1.38
TNNC2	0	0	0
ACOT8	8.59	9.74	6.72
APMAP	11.85	5.82	6.56
CELF4	0.19	0.01	0.58
ZNF516	2.14	1.89	1.44
CDH20	0	0	0.01
ADNP2	1.36	1.72	1.89
RBFA	1.17	0.1	0.15
USP14	3.61	5.3	4.19
VAPA	74.39	74.2	94.96
METTL4	1.68	1.06	0.83
LPIN2	17.03	25.09	24.61
SMCHD1	8.92	7.91	8.32
MYOM1	0.33	0.53	0.78
MYL12A	381.52	466.56	465.39
CEP76	2.19	2.45	0.99
ST8SIA5	0	0	0
CEP192	1.34	1.71	1.71
RNMT	1.48	2.03	1.98
SMAD7	2.3	4.85	5.76
LIPG	3.12	9.26	9.43
LAMA1	0.09	0.15	0.09
RNF125	0.25	1.01	1
ANKRD12	7.49	10.55	11.96
NOL4	0	0	0.11
POLI	1.33	1.95	1.04
MIB1	6.2	8.03	8.44
RBBP8	7.66	8.64	7.78
RIOK3	22.74	44.32	46.03
CSTF2	2.31	2.57	2.42
H2BFM	0	0	0
MXRA5	0.09	0.28	0.55
VSIG1	0.02	0.46	0.25
PSMD10	7.21	8.52	6.45
ATG4A	4.7	4.95	6.01
STS	10.11	11.96	10.77
TBL1X	1.35	2.9	5.13
GPR143	0.29	0.02	0.12
PGRMC1	11.77	19.05	18.98
POLA1	0.28	0.03	0.24
MID1	1.55	2.01	1.91
NKAP	2.19	3.31	4.93
RHOXF1	0	0.11	0
NXT2	0.24	0.25	0.44
GUCY2F	0	0	0
ATP1B4	0	0	0
MCTS2P	0.28	0.09	0.39
ALG13	2.79	10.99	5.63
PRPS2	2.13	1.55	2.46
TLR8	0	0	0
MOSPD1	0.79	0.74	0.49
AMMECR1	1.97	0.9	0.92
CHRDL1	0	0	0
WDR13	5.12	6.61	7.03
SUV39H1	0.07	0.17	0.48
PAGE4	0	0	0
SRPX	0.13	0.24	0.54
GLRA2	0.02	0.12	0.09
XIAP	22	16.55	17.12
STAG2	9.97	13.04	14.79
ATP11C	1.33	1.7	1.39
MCF2	0	0	0
F9	0	0	0
ABCD1	3.53	4.61	4.62
CCDC22	0.93	1.09	0.68
CACNA1F	0	0	0
SYP	0	0	0
PLP2	9.59	13.21	14.46
BMX	0.04	0	0
LUZP4	0	0	0
PLS3	10.06	10.42	9.61
NAA10	4.52	2.51	2.88
RENBP	0.44	0	0
ELF4	7.09	8.45	6.57
SMARCA1	0.11	0.88	0.22
MTMR8	0.16	0.15	0.04
ASB9	0.13	0	0.62
ZC3H12B	0.06	0.12	0.16
RBBP7	8.97	7.05	9.21
PPP1R2C	0	0	0
KCND1	0.07	0	0
OPN1LW	0	0	0
SLC25A14	0.1	0.93	0.65
FMR1	2.8	3.47	4.53
PIM2	0.41	0.24	0.31
SCML2	0	0	0
SLC35A2	4.02	5.84	5.8
PQBP1	4.93	8.8	9.72
RS1	0	0	0
PCSK1N	0	0	0
EMD	2.16	2.79	1.76
TAZ	0.87	1.25	1.41
RAB40AL	0	0	0
PGK1	41.48	94.36	84.68
GATA1	0	0	0
MAGT1	8.4	9.84	9.53
SMS	11.34	9.41	9.07
PHEX	0.35	0.15	0.13
UBL4A	2.57	4.23	2.87
CD99L2	1.55	0.8	1.4
EEA1	6.48	6.72	11.29
GPR50	0	0	0
RP2	3.94	4.64	3.79
JADE3	0.42	0.34	0.48
CDK16	14.64	15.84	9.78
USP11	1.11	3.25	2.53
PCYT1B	0	0	0
BRS3	0	0	0
HTATSF1	7.08	7.12	5.98
VGLL1	0.17	0.03	0.04
CD40LG	0	0	0.04
TIMP1	34.77	55.44	46.57
KLHL4	0	0	0
GABRE	0.72	1.26	2.18
PCDH11X	0	0	0
FGD1	0.03	0.06	0.22
PIN4	1.53	1.52	2.56
PORCN	0.08	0.13	0.71
ITIH6	0	0	0
MAGED2	5.7	11.82	10.76
RBM3	19.34	40.54	28.28
KLF8	0	0	0
SRPX2	3.41	2.16	4.09
SYTL4	6.47	7.52	7.64
ZDHHC15	0	0	0
CENPI	0.2	0.73	0.25
DRP2	0	0	0.04
TAF7L	0	0	0
PBDC1	12.22	15.7	12.59
GLA	3.17	1.04	0.78
ARMCX3	6.64	11.69	8.88
BEX4	0	0.12	0
RUBCNL	0.97	1.7	1.82
NALCN	0.07	0.15	0.1
FGF14	0	0.03	0.02
HTR2A	0.01	0	0
NDFIP2	16.05	20.49	22.73
TNFSF13B	0.02	0.28	0.11
FNDC3A	3.25	3.78	4.05
MLNR	0	0	0
CDADC1	0.69	0.76	1.97
CAB39L	0.5	1.16	0.97
KLF5	87.61	106.64	108.7
STK24	55.15	92.75	88.43
ACP5	2.9	3.82	4.1
DNAJC3	10.23	13.66	12.71
UGGT2	1.57	1.5	1.2
ARHGEF7	4.45	7.45	7.01
FGF9	0	0	0
SGCG	0	0	0
PARP4	35.48	49.61	49.82
SUPT20H	2.33	3.34	2.6
MRPS31	1.49	1.61	1.38
SLC25A15	1.79	1.35	1.46
KPNA3	3.35	5.08	4.76
FLT1	0.01	0.22	0.26
RGCC	0	0	0.08
VWA8	1.89	1.16	1.02
DGKH	0.74	0.72	1.49
KATNAL1	0.06	0.33	0.59
INTS6	4.3	8.3	5.52
ACOD1	0	0	0
DHRS12	3.15	3.29	4.2
MEDAG	0	0	0
TSC22D1	14.86	20.8	23.74
CLN5	2.77	2.99	3.23
OLFM4	5.01	12.61	8.66
MSLN	79.36	85.46	85.23
MGRN1	13.89	16.41	15.86
ZNF629	1.62	2.74	2.34
TRADD	1.42	1.29	2.54
HSF4	0	0	0
CORO1A	0.1	0.65	0.24
MAPK3	76.59	107.27	86.36
GDPD3	53.56	44.57	41.55
ELMO3	3.3	2.52	2.35
MT4	0	0	0
PHKB	9.84	10.98	11.94
LYRM1	2.32	0.73	0.78
NUTF2	12.98	14.1	12.28
NUP93	0.67	0.61	0.21
CENPT	3.17	7.97	7.69
TSNAXIP1	0	0	0
NFAT5	4.71	6.52	6.92
LONP2	11.21	12.5	10.83
N4BP1	5.33	7.98	8.37
CBLN1	0.07	0	0.03
ARL2BP	2.78	3.35	2.96
PLLP	9.05	11.51	8.51
ZNF423	0.01	0	0
CCL22	0.06	0.14	0.17
DHODH	0.07	0.13	0.31
CCL17	0	0	0
CTCF	3.76	3.87	4.41
ACD	0.3	0.82	1.26
POLR2C	5.4	6.66	7.13
PARD6A	0.02	0.08	0.02
ZNF821	3.62	3.81	2.6
MMP15	28.11	21.87	21.43
USB1	6.92	2.34	2.14
CYB5B	31.12	28.28	30.48
CCDC113	0.2	0.02	0.04
PRSS54	0	0.07	0
NME3	1.3	1.36	1.55
NDRG4	0.83	0.03	0.08
PSMD7	24.84	25.14	20.14
SETD6	0.17	0.18	1.18
SLC38A7	1.5	1.24	0.84
VAC14	2.46	2.22	2.14
HAS3	16.24	7.48	8.12
TANGO6	1.02	0.38	0.28
COG4	5.8	5.95	7.66
SMPD3	14.34	21.69	18.52
SLC7A6OS	0.91	1.14	1.07
SLC7A6	2.35	1.53	1.47
PLA2G15	3.69	1.78	1.63
ESRP2	4.69	3.92	2.88
FA2H	15.03	16.65	16.88
WDR59	4.3	3.29	3.23
MON1B	8.36	8.2	9.38
CMC2	4.53	2.63	3.42
AXIN1	5.22	6.25	8.16
HCFC1R1	2.56	7.25	7.08
NPRL3	0.62	0.53	0.84
MLYCD	0.19	0.07	0.17
MPG	5.34	2.82	2.34
NECAB2	0	0	0
HSDL1	1.16	1.91	2.02
TAF1C	0.8	0.59	0.6
NAGPA	3.18	2.86	3.54
WFDC1	0	0	0.05
SEC14L5	0.05	0.05	0.04
COTL1	67.94	50.51	45.79
USP10	4.61	6.67	3.2
CRISPLD2	0	0.14	0.03
TSC2	11.49	11.26	15.45
ZNF500	0.26	0.64	0.64
ENSG00000103200	0	0	0
NME4	10.79	6.96	5.9
ABCC1	6.18	5.68	6.08
NOMO3	10.19	5.26	9.13
LMF1	0.4	0.64	0.89
FOXF1	0	0	0
CIAO3	2.24	1.55	1.41
MTHFSD	0.92	1.12	0.35
CLCN7	2.52	3.04	1.45
HAGHL	1.02	0.25	0.11
ANTKMT	0.95	1.17	0.95
SLC7A5	1.92	6.77	7.08
METRN	3.7	3.1	1.38
FBXO31	3.62	2.56	1.84
STUB1	28.73	17.88	21.83
RHBDL1	0.3	0.04	0.1
NUBP1	3.12	2.08	1.22
UBE2I	10.83	14.58	14.96
ZP2	0	0	0
MEFV	0	0	0
CRYM	0.33	0.3	0.44
EEF2K	4.85	7.1	6.13
CAPN15	10.88	11.56	10.7
PIEZO1	72.53	49.47	63.11
GSPT1	12.58	12.37	14.02
ZNF174	0.2	0.28	0.42
CLUAP1	0.96	0.29	0.29
UBFD1	1.72	1.77	1.53
PRSS33	0	0	0
EARS2	1.29	0.37	0.37
ELOB	37.68	35.53	25.54
GGA2	0.65	0.61	1.33
AQP8	0.04	0	0
CPPED1	2.67	1.84	1.89
USP31	0.34	0.59	0.42
HMOX2	14.78	23.44	18
DNAJA3	5.52	2.44	2.71
CORO7-PAM16_ENSG00000103426	0.45	2.78	3.21
BFAR	3.78	5.59	5.38
SALL1	0	0	0
TOX3	6.04	6.1	7.77
RRN3P2_ENSG00000103472	0	0	0.01
RBL2	2.35	2.97	2.9
QPRT	3.31	15.65	16.96
XYLT1	1.06	1.88	1.68
PYCARD	6.18	3.75	5.78
RPGRIP1L	0.03	0.17	0
MAZ	9.1	15.14	15.26
STX4	4.91	7.75	9.74
CDIPT	3.91	3.03	3.54
BCKDK	3.49	5.45	5.25
KAT8	1.62	2.56	3.7
NOMO1	29.15	33.6	44.46
IL21R	0	0	0.01
SYT17	1.21	2.56	3.47
TMC5	18.93	29.72	27.23
CCP110	0.11	0.42	0.42
VPS35L	5.62	3.49	3.05
SLC6A2	0	0	0
RNF40	9.92	12.4	9.48
KNOP1	2.6	1.67	2.25
AQP9	0	0	0
AAGAB	14.16	12.79	11.7
IQCH	0.18	0.41	0.1
LACTB	9.27	5.75	9.41
CORO2B	0.08	0	0.03
CSK	7	8.21	9.06
HERC1	5.22	1.76	3.97
TRIP4	6.08	9.46	10.01
MTFMT	1.44	1.2	1.12
RASL12	0.27	0.18	0.25
AP3B2	0	0	0.04
ACSBG1	0.53	0.14	0
IGDCC4	0	0	0.05
RAB11A	137.53	139.92	149.95
CTSH	10.15	18.56	19.22
GOLGA8UP_ENSG00000103832	0	0	0
TTC23	1.51	0.39	0.98
CD276	21.65	30.7	34.05
FAH	1.4	0.3	0.61
CEMIP	3.71	4.42	2.93
RPAP1	2.35	1.61	0.64
HOMER2	4.28	13.02	7.46
EHD4	6.19	6.83	6.69
TMEM87A	11.07	10.05	10.03
ZNF106	6.47	10.91	9.78
CEP152	1.02	3.43	2.79
ATP8B4	0.18	0.22	0.35
OCA2	0	0.02	0
DTWD1	0.5	1.12	1.25
TGM5	0	0	0.25
FAM189A1	0	0	0
GABPB1	0.75	1.99	2.17
TJP1	21.43	45.57	50.63
BMF	0.12	0.82	0.65
DMXL2	4.77	4.44	4.42
SCG3	0	0	0
DNAJC17	4.21	15.75	5.89
EIF3J	3.42	4.65	2.39
SPG11	6.22	8.45	6.25
RHOV	0.07	0.22	0.19
VPS18	2.29	2.43	2.23
OIP5	0.08	0.15	0.82
SLC30A4	1.34	1.38	1.26
BLOC1S6	3.8	7.75	5.91
MYEF2	0.56	0.85	1.42
SGK3	1.48	2.33	2.99
PDGFRL	0	0.04	0.21
CSPP1	0.67	0.86	0.89
ZDHHC2	0.25	0.24	0.63
BRF2	0.97	0.71	1.22
TRIM35	4.14	4.07	8.23
ZFAND1	4.02	3.89	2.79
RP1	0	0	0
CA2	223.51	23.18	25.79
FZD3	0.09	0.39	0.13
INTS9	1.89	0.79	1.08
RIPK2	1.7	2.36	1.85
EYA1	0.02	0	0
NBN	1.39	3.59	1.95
TRPA1	3.37	2.86	3.37
CPQ	0.23	0.31	1.51
DECR1	49.66	54.06	47.79
CALB1	0.28	2.14	2.22
IMPAD1	4.08	6.57	6.11
SFRP1	0	0.03	0
LAPTM4B	2.14	2.17	1.69
UBE2W	1.41	2.15	2.92
POP1	0.21	0.29	0.07
NIPAL2	6.62	5.35	4.9
IKBKB	2.59	3.19	4.06
PLAT	0.07	0.26	0.02
JPH1	0.8	1.14	0.83
DKK4	7.72	4.14	3.78
STK3	4.07	10.55	8.75
GDAP1	0.48	0.18	0.22
RAB2A	32.42	31.89	37.44
EIF3E	14.46	12.86	10.03
EMC2	6.85	7.54	12.02
ESRP1	10.94	15.37	15.98
CCN4	0.04	0.05	0.25
NDRG1	296.48	294.38	310.7
ZC2HC1A	0.23	0.32	0.77
IL7	0.13	0.6	0.69
STMN2	0	0	0
ARMC1	2.58	2.46	4.58
TRPS1	0	0	0
SPAG1	8.04	7.63	8.88
CHRAC1	3.14	6.55	7.94
NCALD	0.09	0.21	0.02
SNX16	1.09	0.57	0.67
GML	0	0	0
UBR5	10.04	17.61	21.35
GSDMD	8.03	8.19	9.22
TSTA3	16.11	6	8.01
PYCR3	0.24	0.08	0.04
EEF1D	73.18	36.81	45.18
ANXA13	15.33	17.08	13.81
SQLE	21.12	37.91	39.7
SH2D4A	5.62	5.3	6.44
INTS10	2.59	3.81	1.12
ERI1	2.58	5.4	3.63
SLC39A14	22.77	16.66	15.87
MTMR9	0.72	0.48	0.78
LEPROTL1	7.71	5.05	7.14
DCTN6	5.62	7.15	8.83
R3HCC1	1.45	3.02	3.06
GSR	22.09	9.1	7.56
TNFRSF10A	6.53	6.58	6.93
UBXN8	2.76	0.68	1.51
PPP2CB	49.47	71.57	60.76
ERICH1	2.33	2.33	2.02
NEFM	0	0	0
TUSC3	2.2	2.22	2.78
ARHGEF10	2.45	4.28	3.41
KLHDC4	1.45	3.36	3.58
MCM4	1.88	2.6	5.58
ADAM2	0	0	0
KCTD9	9.66	14.42	12.23
FGL1	0.34	0.97	0.78
ASAH1	19.39	18.97	18.45
BNIP3L	30.83	75.24	88.58
MAN2B1	17.72	16.29	18.03
KCNN4	2.86	3.73	4.22
TULP2	0	0	0
NUCB1	24.47	29.94	28.53
DHDH	0	0	0.39
GYS1	5.01	2.73	2.27
MAP4K1	0	0	0.03
CGB2	0	0	0
ECH1	112.14	117.81	109.22
HNRNPL	27.07	18.01	20.47
NFKBIB	3.77	2.52	2.9
LHB	0	0.24	0.94
CGB3	0	0	0
TUBB4A	0	0	0
SARS2	0.82	0.93	0.77
KCNA7	0	0	0
SNRNP70	10	15.01	24.23
CLPTM1	36.48	20.71	21.7
RELB	3.56	3.79	4.35
CLASRP	4.41	5.45	7.7
LIN7B	0.57	0.24	0.46
PPP1R37	2.67	2	2.64
FCGRT	25.95	35.56	33.71
PIH1D1	5.23	7.77	5.59
CKM	0	0	0
ARHGEF18	14.89	18.13	16.28
PPP1R13L	16.09	31.89	30.01
PEX11G	0.49	0.58	0.5
ERCC2	1.63	0.93	1.97
DOT1L	4.71	4.57	4.74
PLEKHJ1	18.64	18.66	17.87
SLC17A7	0	0	0
RNASEH2A	0.13	0	0.54
KLC3	0.1	0.14	0.07
CD37	0.29	0.04	0.06
SF3A2	6.67	8.96	7.42
AMH	0	0	0.07
DKKL1	0	0	0
LYL1	0	0.1	0.08
OAZ1	166.05	189.83	182.09
TRMT1	0.59	0.4	0.08
STX10	8.76	9.43	15.93
RETN	0	0	0
FCER2	0	0	0
DMPK	1.71	2.17	2.19
CLEC4M	0	0	0
RSPH6A	0	0	0
TBC1D17	3.84	3.51	5.68
IL4I1	0	0	0
TLE6	0.26	0.1	0.4
CCDC130	2.91	2.93	4.48
PTOV1	9.54	16.13	16.26
TLE5	56.61	71.51	76.73
NOVA2	0	0	0
SGTA	10.28	9.11	9.4
KIR3DX1_ENSG00000104970	0	0	0
LILRB1	0	0	0
MED25	6.22	6.15	8.31
LILRA1	0	0	0
SNAPC2	1.88	0.41	0.79
C19orf53	15.49	8.94	10.59
TIMM44	6.68	4.88	3.05
CCDC61	0.2	0.44	0.64
IL27RA	0	0.03	0.04
ASF1B	0.02	0.56	0.21
TNNT1	0	0	0.63
VRK3	7.04	6.26	5.95
FAM32A	35.48	42.67	37.64
PPP6R1	21.45	20.47	21.98
C19orf44	0.35	0.34	0.13
MED26	1.6	1.24	1.44
OLFM2	0.29	0.09	0.41
RASAL3	0	0	0.02
AKAP8	3.18	5.67	3.72
EPHX3	0.26	0.5	0.22
ILVBL	20.12	16.2	18.25
ZNF419	0.09	0.18	0.34
SYDE1	0	0.01	0
CASP14	0	0	0
SLC1A6	0	0	0
AURKC	0.13	0	0.12
POP4	12	9.82	15.17
CCNE1	0.56	0.34	0.76
URI1	10.64	6.16	6.45
PDCD5	6.33	2.52	2.17
ANKRD27	3.25	4.02	4.08
RPS16	53.3	33.02	21.5
TIMM50	5.17	2.07	1.11
LGALS13	0	0	0
FBL	0.81	0.65	0.61
DYRK1B	0.87	1.27	1.38
CLC	0	0	0
CNTD2	0	0.03	0
GPI	35.17	24.48	19.23
AKT2	7.34	12.36	11.31
PLD3	23.55	19.84	23.3
PRX	0.04	0.12	0.27
PIAS4	2.75	2.49	2.39
NUMBL	1.03	0.65	1.18
EBI3	0	0	0.06
YJU2	1.93	1.54	2.61
SHD	2.21	0.99	0.8
TBCB	8.73	4.4	5.26
FSD1	0.05	0.02	0.1
POLR2I	4.25	5.97	5.73
OVOL3	0	0	0
CLIP3	0	0.01	0.12
ZFR2	0	0	0
SLC1A5	7.1	14.91	14.14
PRKD2	9.73	8.85	13.45
TJP3	82.22	54.99	59.83
APLP1	0.06	0.53	1.31
CACTIN	1.54	0.89	1.4
CCDC9	3.42	4.05	5.77
HNRNPUL1	16.27	23.39	22.3
FZR1	5.72	8.17	8.36
BBC3	2.02	1.48	2.58
TGFB1	0.32	1.02	0.68
DENND3	3.3	3.83	6.77
DMAC2	6.13	4.18	4.04
CEACAM4	0	0	0
PLIN3	32.5	58.38	53.8
MYH14	130.38	143.81	141.76
MRPL4	3.97	2.39	2.26
SIGLEC8	0	0	0
CD79A	0	0	0
LIM2	0	0	0
ICAM4	0	0	0
RPS19	179.98	110.87	94.52
NOP53	9.6	10.53	11.31
NKG7	0.08	0	0
ICAM5	0	0.02	0.03
ETFB	68.43	40.57	32.87
CD33	0	0	0
CEACAM5	1277.73	1065.7	1133.7
CRX	0	0	0
BABAM1	10.73	9.01	9.03
TYK2	5.22	6.23	5.43
SULT2A1	0	0	0
CDC37	66.72	41.61	43.82
NAPA	24.19	21.27	22.05
RABAC1	12.46	10.62	10.23
ATP1A3	0	0.05	0.02
MEIS3	0.08	0	0.12
PTPRS	0.74	2.9	0.95
CNFN	1.11	1.33	1.59
ZNRF4	0	0	0
MEGF8	0.91	1.51	4.03
KDELR1	35.64	47.36	42.36
CYTH2	14.19	19.38	21.34
GRWD1	1.65	2.15	1.89
GRIN2D	0.12	0.07	0.22
SYNGR4	0	0	0
CLEC11A	0.06	0	0
CCDC114	0	0	0
CARD8	0.17	0.46	1.29
LIG1	1.32	1.23	1.17
SIGLEC6	0	0	0
ZNF175	0.35	0.22	0.36
PLA2G4C	0.33	1.4	0.64
SIGLEC5	0	0	0
CABP5	0	0	0
HAS1	0	0	0
